symbol,0_ax,0_ay,0_az,0_gx,0_gy,0_gz,1_ax,1_ay,1_az,1_gx,1_gy,1_gz,2_ax,2_ay,2_az,2_gx,2_gy,2_gz,3_ax,3_ay,3_az,3_gx,3_gy,3_gz,4_ax,4_ay,4_az,4_gx,4_gy,4_gz,5_ax,5_ay,5_az,5_gx,5_gy,5_gz
0,1.534162879,4.240347385,-8.781781197,-0.020283358,-0.015820576,-0.017436301,-2.630763054,-1.551521778,-9.412685394,-0.020378979,-0.047721721,-0.002937192,-1.985492945,-1.289343357,-7.831832886,-0.003635323,-0.052566461,0.004554539,-4.222389698,-3.611238718,-8.25622654,-0.005466142,-0.014943516,-0.011309565,-2.109997749,-5.375855446,-7.635498524,0.003203231,-0.005105571,0.02706548,7.89049387,-1.307899356,-5.066389084,0.009333801,-0.026325695,-0.004197551
0,1.470114708,4.367246628,-8.714140892,-0.013492194,-0.007564651,0.00027399,-2.759458065,-1.571274877,-9.459973335,-0.001470247,0.013265594,-0.001871911,-1.980704308,-1.326455355,-7.883310795,0.003821641,0.006423453,-0.000905025,-4.045209885,-3.566943645,-8.220910072,-0.004134541,0.019944426,-0.003719441,-2.189010382,-5.50395155,-7.66183567,-0.023295624,0.03084765,-0.047903646,7.955140591,-1.106177568,-4.980792046,0.057005107,0.126142591,-6.9588e-05
0,1.761623621,4.138588428,-8.835054398,0.175861433,0.18551746,0.029036567,-1.571873546,-1.956761003,-9.231314659,0.087747008,0.134840742,-0.040887814,-1.094804525,-1.773595333,-7.901866913,0.02006717,-0.017145881,0.005220339,-3.618421793,-3.822537899,-8.379534721,-0.012656786,-0.006687591,-0.022761332,-1.720920205,-5.647012234,-7.754615784,0.013722877,-0.009766174,0.026666,8.241262436,-1.537754416,-4.551609516,0.000278915,-0.016871329,-0.001534349
0,1.871163964,3.862642765,-8.933820724,-0.027474003,-0.023677021,-0.013574658,-2.071089983,-2.02499938,-9.418670654,0.000127674,0.016994076,-0.005866713,-1.329448223,-1.661062121,-7.950950623,-0.002836363,-0.008623636,-0.009027789,-3.625006199,-3.812361956,-8.339429855,0.001191862,0.004098375,0.005734925,-1.774193883,-5.534479141,-7.715109348,0.00120583,0.008343597,0.012551032,8.210136414,-1.493459463,-4.639600754,-0.005979609,0.002037402,0.010316898
0,1.915458918,3.671695471,-8.875758171,0.083315186,-0.008629931,0.024775445,-1.881938457,-2.193799019,-9.407298088,0.035947736,-0.011102701,-0.04941006,-1.404270887,-1.856199503,-8.122743607,0.102626421,0.361694545,0.015606825,-3.727363348,-3.729757786,-8.399287224,0.167375639,0.267489016,0.010129208,-0.472280353,-6.14622879,-7.53074646,-0.039141674,1.512253523,0.280202806,8.582453728,-1.846622109,-4.103870869,-0.002783767,0.257971078,-0.000868549
0,2.316508293,3.183253288,-8.86318779,0.124062166,-0.052839078,-0.114376836,2.531997204,-4.1020751,-8.440589905,-0.086559542,-0.202320576,0.005718214,2.288374901,-3.34307456,-7.477472782,-0.20990029,-0.378542334,-0.108764686,-1.804721475,-4.480976582,-8.405273438,-0.410272777,-1.351471186,-0.480565697,-1.362370133,-4.902377605,-7.363143921,0.174846575,-3.585913181,-1.152866006,8.331647873,-1.339025497,-4.480976582,0.111733899,-0.154958338,-0.401014596
0,0.540518582,0.26277703,-10.08489132,0.701044798,-0.685882092,1.205905318,-3.638174772,-1.115156293,-8.84283638,0.013310522,0.50276202,0.003587652,-2.350627184,-1.124733567,-7.558879852,-0.055301435,0.204432487,-0.121015415,-4.688086033,-3.267653227,-8.190980911,-0.097080275,0.068281531,-0.056850314,-2.309923887,-5.352510452,-7.520570755,-0.130755812,0.002884034,-0.097039714,9.198392868,-0.90625155,-3.305962563,0.080840766,0.170618057,-0.020176761
0,0.858365059,-0.709916949,-9.650919914,0.272668809,-0.137129411,-0.05046,-2.245277166,-2.054329634,-9.195400238,0.117308542,0.054944698,-0.193888739,-1.537155867,-1.698772669,-7.833628654,0.060281515,0.11375048,-0.3031784,-3.994330406,-3.416101456,-8.420237541,-0.059529133,-0.011081873,-0.211449161,-1.918451905,-5.186703682,-7.879120827,0.007198033,0.010873639,-0.21888119,9.347439766,-1.343215585,-2.903117418,0.036631618,0.000838961,-0.008858154
0,0.495625019,-1.313885093,-9.558139801,-0.00550259,-0.008363611,0.028903408,-2.466752052,-2.450590372,-9.342651367,0.030621331,0.062667981,-0.039156735,-1.371348858,-1.963345408,-7.915035725,-0.031998418,0.087651104,0.015873145,-3.674688339,-3.343672991,-8.580657959,-0.033829238,0.104634233,0.003204884,-1.552718878,-5.011319637,-8.116158485,-0.09626735,0.156683922,-0.009553541,9.626976967,-1.323462486,-2.200982094,-0.022358298,0.105902262,-0.005262832
0,2.427245617,-0.651854634,-9.516838074,0.041502919,0.046232022,-0.060713325,-2.121969461,-2.259044409,-9.474338531,-0.102006108,-0.055445008,-0.06778615,-0.787732482,-1.264801502,-7.921021461,-0.072612241,0.002828131,-0.077338912,-3.387968063,-3.192232132,-8.771006584,-0.014387866,-0.050763577,0.114659868,-1.380926251,-4.925722599,-8.193375587,0.002803751,0.016333202,0.070741989,9.535393715,-1.280364633,-2.543370247,-0.069230646,-0.00102528,0.065844648
